,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-03-28,108,26,,,11,,16,,,,,3423,1077,,106,519,191,212,5,24,10,507
2017-03-29,95,26,,,9,,19,,,,,4879,1166,,130,470,208,211,13,29,16,658
2017-03-30,66,16,,,9,,23,,,,,3204,1097,,114,496,182,196,11,32,16,725
2017-03-31,65,18,,,8,,20,,,,,3024,862,,88,493,183,187,15,37,24,568
2017-04-01,57,21,,,9,,12,,,,,2527,701,,72,382,116,139,9,33,16,417
2017-04-02,83,17,,,10,,18,,,,,3555,816,,56,554,165,150,7,21,7,376
2017-04-03,68,15,,,11,,23,,,,,3747,1072,,99,560,268,177,7,16,15,660
2017-04-04,95,16,,,16,,44,,,,,3503,1031,,145,539,268,181,11,48,56,538
2017-04-05,71,24,,,18,,22,,,,,3569,1078,,103,560,176,189,9,42,51,585
2017-04-06,70,10,,,14,,15,,,,,5554,1328,,145,591,206,225,15,42,68,699
2017-04-07,201,52,,,12,,33,,,,,5603,1537,,130,527,139,217,18,46,58,756
2017-04-08,87,30,,,5,,22,,,,,3095,1065,,64,430,137,172,12,53,28,449
2017-04-09,93,27,,,10,,18,,,,,4123,1001,,112,457,143,179,20,37,68,448
2017-04-10,106,30,,,10,,29,,,,,3663,1187,,113,502,149,188,13,35,32,646
2017-04-11,93,23,,,13,,20,,,,,3293,1077,,132,489,199,223,15,52,52,668
2017-04-12,138,19,,,9,,19,,,,,3207,994,,183,581,195,214,15,42,36,604
2017-04-13,131,26,,,16,,22,,,,,3187,1033,,155,469,181,230,14,66,49,541
2017-04-14,98,19,,,6,,12,,,,,2959,907,,118,461,124,169,8,28,26,437
2017-04-15,115,17,,,9,,22,,,,,2914,843,,109,516,151,160,9,28,43,339
2017-04-16,73,11,,,11,,20,,,,,3700,939,,90,458,94,148,8,24,21,333
2017-04-17,92,20,,,10,,19,,,,,3640,1033,,117,521,149,211,8,39,32,516
2017-04-18,94,17,,,12,,16,,,,,3654,1119,,94,587,211,204,13,34,19,621
2017-04-19,80,18,,,9,,18,,,,,3941,1143,,174,516,222,216,7,40,51,791
2017-04-20,173,56,,,13,,121,,,,,5774,1115,,132,488,187,232,14,40,44,643
2017-04-21,77,28,,,4,,16,,,,,3441,984,,97,502,153,200,6,31,19,638
2017-04-22,75,15,,,11,,18,,,,,3501,946,,104,450,135,153,14,24,20,475
2017-04-23,68,9,,,7,,24,,,,,3641,1014,,87,496,163,196,13,29,18,778
2017-04-24,68,17,,,6,,21,,,,,3843,1103,,136,512,181,205,7,44,25,781
2017-04-25,71,18,,,11,,37,,,,,3729,1238,,123,495,209,192,7,31,29,604
2017-04-26,68,15,,,7,,17,,,,,3598,1061,,96,502,182,176,11,20,23,657
2017-04-27,84,25,,,10,,25,,,,,3288,993,,102,495,179,212,11,30,11,578
2017-04-28,57,21,,,9,,11,,,,,3036,882,,78,459,146,174,8,36,11,572
2017-04-29,83,21,,,9,,26,,,,,2940,883,,72,379,128,138,3,30,19,670
2017-04-30,68,16,,,15,,17,,,,,4163,834,,54,487,129,161,2,20,12,555
2017-05-01,109,15,,,7,,13,,,,,3247,1057,,93,595,149,213,10,30,35,700
2017-05-02,133,17,,,6,,39,,,,,3289,1068,,107,525,168,208,8,28,22,609
2017-05-03,104,20,,,18,,26,,,,,3984,1118,,110,556,189,192,8,36,19,769
2017-05-04,79,21,,,17,,25,,,,,3522,1184,,120,505,191,198,10,34,15,718
2017-05-05,76,23,,,10,,24,,,,,3204,916,,118,475,148,198,9,41,25,626
2017-05-06,102,28,,,14,,17,,,,,2760,913,,53,392,89,165,7,37,19,411
2017-05-07,91,21,,,9,,22,,,,,2891,929,,57,447,111,143,4,41,12,416
2017-05-08,74,27,,,10,,13,,,,,3567,1223,,75,567,188,182,13,37,27,580
2017-05-09,70,13,,,8,,15,,,,,3504,1083,,80,546,215,233,5,34,26,651
2017-05-10,87,31,,,9,,24,,,,,4439,1003,,96,504,174,206,9,39,15,768
2017-05-11,85,18,,,8,,23,,,,,4347,1055,,103,554,331,218,8,36,9,691
2017-05-12,108,19,,,9,,30,,,,,3391,969,,90,489,325,223,4,35,13,729
2017-05-13,83,20,,,5,,19,,,,,4796,882,,48,411,111,142,6,34,14,438
2017-05-14,98,31,,,7,,23,,,,,2844,870,,53,404,135,141,12,20,13,373
2017-05-15,67,12,,,10,,17,,,,,3607,1015,,85,507,191,234,11,27,23,731
2017-05-16,76,27,,,7,,17,,,,,3460,1003,,94,510,199,187,2,36,24,767
2017-05-17,82,16,,,7,,21,,,,,3925,1316,,111,535,220,195,9,41,23,1036
2017-05-18,86,27,,,16,,22,,,,,4698,1050,,127,524,178,180,8,39,15,1074
2017-05-19,100,21,,,9,,18,,,,,3155,1065,,67,487,183,223,14,40,19,835
2017-05-20,91,15,,,6,,23,,,,,3004,1012,,42,449,109,137,11,23,16,467
2017-05-21,68,21,,,9,,16,,,,,3061,927,,57,448,143,176,12,34,15,481
