,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-06-04,62,,,,,,,,,,,3033,,,,,,,,,,
2017-06-05,60,,,,,,,,,,,3260,,,,,,,,,,
2017-06-06,94,,,,,,,,,,,2891,,,,,,,,,,
2017-06-07,67,,,,,,,,,,,3005,,,,,,,,,,
2017-06-08,83,,,,,,,,,,,2973,,,,,,,,,,
2017-06-09,65,,,,,,,,,,,2770,,,,,,,,,,
2017-06-10,72,,,,,,,,,,,2342,,,,,,,,,,
2017-06-11,78,,,,,,,,,,,3444,,,,,,,,,,
2017-06-12,69,,,,,,,,,,,3164,,,,,,,,,,
2017-06-13,84,,,,,,,,,,,2880,,,,,,,,,,
2017-06-14,74,,,,,,,,,,,2644,,,,,,,,,,
2017-06-15,64,,,,,,,,,,,3020,,,,,,,,,,
2017-06-16,56,,,,,,,,,,,2966,,,,,,,,,,
2017-06-17,62,,,,,,,,,,,2650,,,,,,,,,,
2017-06-18,60,,,,,,,,,,,2487,,,,,,,,,,
2017-06-19,75,,,,,,,,,,,2795,,,,,,,,,,
2017-06-20,55,,,,,,,,,,,3032,,,,,,,,,,
2017-06-21,67,,,,,,,,,,,2887,,,,,,,,,,
2017-06-22,72,,,,,,,,,,,2778,,,,,,,,,,
2017-06-23,71,,,,,,,,,,,3254,,,,,,,,,,
2017-06-24,64,,,,,,,,,,,2375,,,,,,,,,,
2017-06-25,64,,,,,,,,,,,2491,,,,,,,,,,
2017-06-26,85,,,,,,,,,,,2647,,,,,,,,,,
2017-06-27,66,,,,,,,,,,,2695,,,,,,,,,,
2017-06-28,86,,,,,,,,,,,2744,,,,,,,,,,
2017-06-29,81,,,,,,,,,,,3235,,,,,,,,,,
2017-06-30,76,,,,,,,,,,,2476,,,,,,,,,,
2017-07-01,79,,,,,,,,,,,5212,,,,,,,,,,
2017-07-02,70,,,,,,,,,,,2725,,,,,,,,,,
